,0
216,하늘님~ 발렌시아가 에브리데이백. 미디움 사이즈 아닌것 같은데 사이즈 체크 다시해주실수 있을까요 ?  XS 이나 S 중에 하나일것같아요﻿
217,언니 이쁜말만 듣구 맛있는것만 먹구 살아요 마니 애정해요💙﻿
218,You’re soooo cuteeeeeee﻿
219,생일이에욤ㅎㅎ...그냥...그렇다구요..🙃😅﻿
220,언니가 사용하고 있는지갑이랑 사용했던 지갑도 찍어주세요~~!!!﻿
221,코코핸들 (그 외에도) 체인은 빼서 보관하셔야 한다고 들었어용﻿
222,왕 오늘 시내갔는데 올리브영에도 크게 딱 계시고 화장품가게 지나가는데도 딱계셔서반가웠서요 !!﻿
223,하늘님 오늘도 영상 잘 봤어요! 요새 환절기라 날씨 왔다갔다하는데 감기 조심하세요 🤧💙🍎﻿
224,취향이 넘 비슷해요 ㅠㅠㅠㅠㅠㅠ 언니 덕분에 평소에 계속 미련 남았던 가방들 포기할 수 있게 됐어요 진짜 이런 정보 주시는 거 넘 좋아요 ㅠㅠㅠ 최고다 ㅠㅠㅠㅠㅠㅠㅠ 튼 오프화이트는 미련 1도 없이 깔끔하게 포기했습니다 ㅋㅋㅋㅋㅋ 안티고나랑 에브리데이도 고민했었는데 언니 영상 보고 무조건 꼭 사야겠다 싶었어요 ㅠㅠ 넘나 많이 도움된 것!!!!!﻿
225,하늘님 취향=제취향 완전 판박이라서 항상 유튜브나 인스타볼때 머리부터 발끝까지 모든게 하나같이 너무예쁘고 맘에들어요ㅠㅠㅠ 정보많이많이 공유해주세요 ㅎㅎ넘좋아요﻿
226,혹시 귀걸이 정보도 알 수 있을까요~? 달랑달랑 진주 너무 이뽀요~﻿
227,선릉에서 밥먹고 나오는데 봤는데 아직도 기억난다 진짜 연예인 비쥬얼임. 실물이 더 이쁘심﻿
228,베르토니 가방 넘나 제 스타일이라 사고싶은데 해당브랜드가 국내엔 아무리 찾아봐도 없네요 ㅠㅠㅠ 어디서 사셨는지 몹시 궁금하네용...ㅠㅠㅠㅠ﻿
229,공주님 같야ㅠㅠㅠ﻿
230,
231,왜케 이영상은 보면서 맘씨가 이뻐보이지....❤❤💓﻿
